index,elapsed_s,model,series_r,series_l,series_c,current_phase_deg,voltage_phase_deg,samples_per_period,current_amplitude_a,shunt_resistance_ohm,current_pga,phase_diff_deg,dds_frequency_hz,shunt_range,voltage_pga,impedance_mag_ohm,impedance_imag_ohm,captured_cycles,voltage_amplitude_v,impedance_real_ohm,sample_rate_hz
475,26.299482,Series RL,0.613426,0.000110007925313,,-157.120635,111.862487,20.000000,0.007853,100.000000,0,88.983123,50000,0,0,34.565452,34.560009,20.000000,0.271455,0.613426,1000000
476,26.353831,Series RL,0.303879,0.000108079053346,,48.521492,-41.991279,20.000000,0.007850,100.000000,0,89.487236,50000,0,0,33.955394,33.954036,20.000000,0.266539,0.303879,1000000
477,26.410753,Series RL,0.307487,0.000108142330169,,68.348937,-22.169618,20.000000,0.007849,100.000000,0,89.481445,50000,0,0,33.975307,33.973915,20.000000,0.266664,0.307487,1000000
478,26.466414,Series RL,0.607544,0.000108403248782,,100.341644,9.319617,20.000000,0.007853,100.000000,0,88.977973,50000,0,0,34.061305,34.055885,20.000000,0.267481,0.607544,1000000
479,26.519036,Series RL,0.381406,0.000108459615097,,-164.272399,105.086265,20.000000,0.007851,100.000000,0,89.358680,50000,0,0,34.075729,34.073593,20.000000,0.267541,0.381406,1000000
480,26.611058,Series RL,0.349869,0.000108672787228,,16.556167,-74.030975,20.000000,0.007851,100.000000,0,89.412857,50000,0,0,34.142356,34.140563,20.000000,0.268042,0.349869,1000000
481,26.674137,Series RL,0.567226,0.000109913307699,,147.244598,56.303482,20.000000,0.007847,100.000000,0,89.058883,50000,0,0,34.534942,34.530284,20.000000,0.271013,0.567226,1000000
482,26.728174,Series RL,0.701070,0.000109590414151,,-28.816209,-119.982765,20.000000,0.007851,100.000000,0,88.833450,50000,0,0,34.435981,34.428844,20.000000,0.270367,0.701070,1000000
483,26.782010,Series RL,0.342692,0.000108214917555,,-23.758975,-114.336517,20.000000,0.007850,100.000000,0,89.422470,50000,0,0,33.998447,33.996719,20.000000,0.266878,0.342692,1000000
484,26.835789,Series RL,0.648807,0.000109931801504,,76.835144,-14.241105,20.000000,0.007851,100.000000,0,88.923744,50000,0,0,34.542186,34.536094,20.000000,0.271191,0.648807,1000000
485,26.891235,Series RL,0.474220,0.00010956400398,,19.397245,-71.392082,20.000000,0.007848,100.000000,0,89.210662,50000,0,0,34.423812,34.420547,20.000000,0.270155,0.474220,1000000
486,26.946535,Series RL,0.657819,0.000109784901491,,-102.079109,166.828216,20.000000,0.007852,100.000000,0,88.907341,50000,0,0,34.496215,34.489944,20.000000,0.270868,0.657819,1000000
487,27.002320,Series RL,0.655168,0.000109956352745,,-66.312072,-157.398635,20.000000,0.007854,100.000000,0,88.913436,50000,0,0,34.550018,34.543807,20.000000,0.271344,0.655168,1000000
488,27.059891,Series RL,0.514804,0.000109906301699,,20.884248,-69.969955,20.000000,0.007846,100.000000,0,89.145797,50000,0,0,34.531921,34.528083,20.000000,0.270930,0.514804,1000000
489,27.114458,Series RL,0.690499,0.000109625154492,,-28.942218,-120.090812,20.000000,0.007850,100.000000,0,88.851402,50000,0,0,34.446678,34.439758,20.000000,0.270392,0.690499,1000000
490,27.171192,Series RL,0.693715,0.000109527296483,,133.641326,42.486343,20.000000,0.007853,100.000000,0,88.845016,50000,0,0,34.416007,34.409015,20.000000,0.270273,0.693715,1000000
491,27.224324,Series RL,0.481103,0.000109637988746,,163.657592,72.857337,20.000000,0.007846,100.000000,0,89.199760,50000,0,0,34.447151,34.443790,20.000000,0.270280,0.481103,1000000
492,27.279274,Series RL,0.637795,0.000109815659776,,-174.020278,94.920593,20.000000,0.007852,100.000000,0,88.940887,50000,0,0,34.505500,34.499607,20.000000,0.270941,0.637795,1000000
493,27.334401,Series RL,0.514442,0.000109779690758,,-123.886741,145.258651,20.000000,0.007849,100.000000,0,89.145416,50000,0,0,34.492145,34.488307,20.000000,0.270723,0.514442,1000000
494,27.388624,Series RL,0.574164,0.000109851078117,,-105.064155,163.982666,20.000000,0.007849,100.000000,0,89.046836,50000,0,0,34.515510,34.510734,20.000000,0.270917,0.574164,1000000
495,27.441615,Series RL,0.666250,0.000109867557019,,-155.947677,112.946479,20.000000,0.007852,100.000000,0,88.894172,50000,0,0,34.522338,34.515911,20.000000,0.271086,0.666250,1000000
496,27.494804,Series RL,0.471413,0.000109553426542,,109.392288,18.607553,20.000000,0.007849,100.000000,0,89.215270,50000,0,0,34.420455,34.417224,20.000000,0.270167,0.471413,1000000
